DRY RUN Instagram final schedule | 2026-08-20 to 2026-08-26
2026-08-20T07:00:00+09:00 | ENG-000006 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000006-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000006-answer.png | caption=yes | pending | past_due_hold
2026-08-20T09:30:00+09:00 | ENG-000007 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000007-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000007-answer.png | caption=yes | pending | past_due_hold
2026-08-20T12:00:00+09:00 | ENG-000008 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000008-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000008-answer.png | caption=yes | pending | past_due_hold
2026-08-20T15:00:00+09:00 | ENG-000009 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000009-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000009-answer.png | caption=yes | pending | scheduled
2026-08-20T18:00:00+09:00 | ENG-000010 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000010-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000010-answer.png | caption=yes | pending | scheduled
2026-08-20T20:30:00+09:00 | ENG-000011 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000011-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000011-answer.png | caption=yes | pending | scheduled
2026-08-20T22:30:00+09:00 | ENG-100002 | normal | Stories | artifacts/stories/ENG-100002-story.png | caption=no | pending | scheduled
2026-08-21T07:00:00+09:00 | ENG-000012 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000012-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000012-answer.png | caption=yes | pending | scheduled
2026-08-21T09:30:00+09:00 | ENG-000013 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000013-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000013-answer.png | caption=yes | pending | scheduled
2026-08-21T12:00:00+09:00 | ENG-000014 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000014-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000014-answer.png | caption=yes | pending | scheduled
2026-08-21T15:00:00+09:00 | ENG-000015 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000015-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000015-answer.png | caption=yes | pending | scheduled
2026-08-21T18:00:00+09:00 | ENG-000016 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000016-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000016-answer.png | caption=yes | pending | scheduled
2026-08-21T20:30:00+09:00 | ENG-000017 | quiz | Feed | /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000017-question.png -> /Users/sekiguchijunichi/Documents/Codex/english-automation/english-instagram-automation/artifacts/images/ENG-000017-answer.png | caption=yes | pending | scheduled
2026-08-21T22:30:00+09:00 | ENG-100003 | normal | Stories | artifacts/stories/ENG-100003-story.png | caption=no | pending | scheduled
